Country,Providence/State,Latitude,Longitude
Fiji,,-17.71340,178.06500
Finland,,61.92410,25.74820
France,French Guiana,3.93390,-53.12580
,French Polynesia,-17.67970,-149.40680
,Guadeloupe,16.26500,-61.55100
,Martinique,14.64150,-61.02420
,Mayotte,-12.82750,45.16620
,New Caledonia,-20.90430,165.61800
,Reunion,-21.11510,55.53640
,Saint Barthelemy,17.90000,-62.83330
,Saint Pierre and Miquelon,46.88520,-56.31590
,St Martin,18.08260,-63.05230
,France,46.22760,2.21370
Gabon,,-0.80370,11.60940
Gambia,,13.44320,-15.31010
Georgia,,32.16560,-82.90010
Germany,,51.16570,10.45150
Ghana,,7.94650,-1.02320
Greece,,39.07420,21.82430
Grenada,,12.11650,-61.67900
Guatemala,,15.78350,-90.23080
Guinea,,9.94560,-9.69660
Guinea-Bissau,,11.80370,-15.18040
Guyana,,4.86040,-58.93020
Haiti,,18.97120,-72.28520
Holy See,,41.90290,12.45340
Honduras,,15.20000,-86.24190
Hungary,,47.16250,19.50330
Iceland,,64.96310,-19.02080
India,,20.59370,78.96290
Indonesia,,-0.78930,113.92130
Iran,,32.42790,53.68800
Iraq,,33.22320,43.67930
Ireland,,53.14240,-7.69210
Israel,,31.04610,34.85160
Italy,,41.87190,12.56740
Jamaica,,18.10960,-77.29750
Japan,,36.20480,138.25290
Jordan,,30.58520,36.23840
Kazakhstan,,48.01960,66.92370
Kenya,,-0.02360,37.90620
"Korea, South",,35.90780,127.76690
Kosovo,,42.60260,20.90300
Kuwait,,29.31170,47.48180
Kyrgyzstan,,41.20440,74.76610
Laos,,19.85630,102.49550
Latvia,,56.87960,24.60320
Lebanon,,33.85470,35.86230
Lesotho,,-29.61000,28.23360
Liberia,,6.42810,-9.42950
Libya,,26.33510,17.22830
Liechtenstein,,47.16600,9.55540
Lithuania,,55.16940,23.88130
Luxembourg,,49.81530,6.12960
MS Zaandam,,52.44204,4.82920
Madagascar,,-18.76690,46.86910
Malawi,,-13.25430,34.30150
Malaysia,,4.21050,101.97580
Maldives,,3.20280,73.22070
Mali,,17.57070,-3.99620
Malta,,35.93750,14.37540
Marshall Islands,,7.13150,171.18450
Mauritania,,21.00790,-10.94080
Mauritius,,-20.34840,57.55220
Mexico,,23.63450,-102.55280
Moldova,,47.41160,28.36990
Monaco,,43.73840,7.42460
Mongolia,,46.86250,103.84670
Montenegro,,42.70870,19.37440
Morocco,,31.79170,-7.09260
Mozambique,,-18.66570,35.52960
Namibia,,-22.96710,18.49300
Nepal,,28.39490,84.12400
Netherlands,Aruba,12.52110,-69.96830
,"Bonaire, Sint Eustatius and Saba",12.17840,-68.23850
,Curacao,12.16960,-68.99000
,Sint Maarten,18.04250,-63.05480
,Netherlands,52.13260,5.29130
New Zealand,,-40.90060,174.88600
Nicaragua,,12.86540,-85.20720
Niger,,17.60780,8.08170
Nigeria,,9.08200,8.67530
North Macedonia,,41.60860,21.74530
Norway,,60.47200,8.46890
Oman,,21.47350,55.97540
Pakistan,,30.37530,69.34510
Panama,,8.53800,-80.78210
Papua New Guinea,,-6.31500,143.95550
Paraguay,,-23.44250,-58.44380
Peru,,-9.19000,-75.01520
Philippines,,12.87970,121.77400
Poland,,51.91940,19.14510
Portugal,,39.39990,-8.22450
Qatar,,25.35480,51.18390
Romania,,45.94320,24.96680
Russia,,61.52400,105.31880
Rwanda,,-1.94030,29.87390
Saint Kitts and Nevis,,17.35780,-62.78300
Saint Lucia,,13.90940,-60.97890
Saint Vincent and the Grenadines,,12.98430,-61.28720
Samoa,,-13.75900,-172.10460
San Marino,,43.94240,12.45780
Sao Tome and Principe,,0.18640,6.61310
Saudi Arabia,,23.88590,45.07920
Senegal,,14.49740,-14.45240
Serbia,,44.01650,21.00590
Seychelles,,-4.67960,55.49200
Sierra Leone,,8.46060,-11.77990
Singapore,,1.35210,103.81980
Slovakia,,48.66900,19.69900
Slovenia,,46.15120,14.99550
Solomon Islands,,-9.64570,160.15620
Somalia,,5.15210,46.19960
South Africa,,-30.55950,22.93750
South Sudan,,6.87700,31.30700
Spain,,40.46370,-3.74920
Sri Lanka,,7.87310,80.77180
Sudan,,12.86280,30.21760
Suriname,,3.91930,-56.02780
Sweden,,60.12820,18.64350
Switzerland,,46.81820,8.22750
Syria,,34.80210,38.99680
Taiwan*,,23.69780,120.96050
Tajikistan,,38.86100,71.27610
Tanzania,,-6.36900,34.88880
Thailand,,15.87000,100.99250
Timor-Leste,,-8.87420,125.72750
Togo,,8.61950,0.82480
Trinidad and Tobago,,10.69180,-61.22250
Tunisia,,33.88690,9.53750
Turkey,,38.96370,35.24330
US,,37.09020,-95.71290
Uganda,,1.37330,32.29030
Ukraine,,48.37940,31.16560
United Arab Emirates,,23.42410,53.84780
United Kingdom,Anguilla,18.22060,-63.06860
,Bermuda,32.30780,-64.75050
,British Virgin Islands,18.42070,-64.64000
,Cayman Islands,19.31330,-81.25460
,Channel Islands,49.37228,-2.36435
,Falkland Islands (Malvinas),-51.79630,-59.52360
,Gibraltar,36.14080,-5.35360
,Isle of Man,54.23610,-4.54810
,Montserrat,16.74250,-62.18740
,Turks and Caicos Islands,21.69400,-71.79790
,United Kingdom,55.37810,-3.43600
Uruguay,,-32.52280,-55.76580
Uzbekistan,,41.37750,64.58530
Vanuatu,,-15.37670,166.95920
Venezuela,,6.42380,-66.58970
Vietnam,,14.05830,108.27720
West Bank and Gaza,,31.94660,35.30270
Yemen,,15.55270,48.51640
Zambia,,-13.13390,27.84930
Zimbabwe,,-19.01540,29.15490
