Country,Providence/State,Latitude,Longitude,January,February,March,April,May,June,July,August,September,October,November,December
,Greenland,71.7069,-42.6043,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,Denmark,56.2639,9.5018,0.00%,0.00%,3.15%,4.94%,4.92%,4.74%,4.46%,3.67%,2.32%,1.56%,1.04%,0.77%
Djibouti,,11.8251,42.5903,0.00%,0.00%,0.00%,0.18%,0.72%,1.15%,1.14%,1.11%,1.13%,1.10%,1.07%,1.05%
Dominica,,15.415,-61.371,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Dominican Republic,,18.7357,-70.1627,0.00%,0.00%,4.60%,4.32%,2.90%,2.29%,1.67%,1.81%,1.88%,1.77%,1.62%,1.44%
Ecuador,,-1.8312,-78.1834,0.00%,0.00%,3.35%,3.61%,8.59%,8.02%,6.68%,5.76%,8.29%,7.53%,6.99%,6.68%
Egypt,,26.8206,30.8025,0.00%,0.00%,6.48%,7.08%,3.84%,4.32%,5.11%,5.48%,5.75%,5.83%,5.74%,5.59%
El Salvador,,13.7942,-88.8965,0.00%,0.00%,3.13%,2.53%,1.83%,2.70%,2.69%,2.79%,2.90%,2.92%,2.90%,2.92%
Equatorial Guinea,,1.6508,10.2679,0.00%,0.00%,0.00%,0.32%,0.92%,1.60%,1.72%,1.68%,1.65%,1.63%,1.65%,1.64%
Eritrea,,15.1794,39.7823,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%
Estonia,,58.5953,25.0136,0.00%,0.00%,0.54%,3.08%,3.64%,3.47%,3.34%,2.69%,1.90%,1.49%,0.96%,0.80%
Eswatini,,-26.5225,31.4659,0.00%,0.00%,0.00%,1.00%,0.70%,1.35%,1.55%,1.99%,1.99%,1.98%,1.90%,1.94%
Ethiopia,,9.145,40.4897,0.00%,0.00%,0.00%,2.29%,0.94%,1.76%,1.56%,1.55%,1.59%,1.53%,1.55%,1.55%
Fiji,,-17.7134,178.065,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.70%,7.14%,6.25%,5.88%,4.76%,4.35%
Finland,,61.9241,25.7482,0.00%,0.00%,1.20%,4.22%,4.67%,4.55%,4.43%,4.16%,3.44%,2.22%,1.60%,1.50%
France,French Guiana,3.9339,-53.1258,0.00%,0.00%,0.00%,0.79%,0.20%,0.37%,0.55%,0.65%,0.66%,0.66%,0.62%,0.56%
,French Polynesia,-17.6797,-149.4068,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.38%,0.40%,0.52%,0.65%
,Guadeloupe,16.265,-61.551,0.00%,0.00%,3.51%,7.95%,8.64%,7.69%,5.28%,1.26%,1.03%,1.66%,1.79%,1.80%
,Martinique,14.6415,-61.0242,0.00%,0.00%,2.34%,7.87%,7.00%,5.79%,5.58%,2.60%,1.36%,0.84%,0.74%,0.69%
,Mayotte,-12.8275,45.1662,0.00%,0.00%,1.06%,0.74%,1.24%,1.34%,1.32%,1.21%,1.11%,1.01%,0.95%,0.94%
,New Caledonia,-20.9043,165.618,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,Reunion,-21.1151,55.5364,0.00%,0.00%,0.00%,0.00%,0.21%,0.38%,0.61%,0.54%,0.40%,0.42%,0.50%,0.47%
,Saint Barthelemy,17.9,-62.8333,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.68%,0.54%
,Saint Pierre and Miquelon,46.8852,-56.3159,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,St Martin,18.0826,-63.0523,0.00%,0.00%,6.67%,7.89%,7.32%,6.98%,5.66%,2.35%,2.09%,1.59%,1.67%,1.25%
,France,46.2276,2.2137,0.00%,2.00%,6.82%,14.53%,15.31%,15.14%,14.01%,10.02%,5.49%,2.65%,2.36%,2.44%
Gabon,,-0.8037,11.6094,0.00%,0.00%,6.25%,1.09%,0.64%,0.78%,0.67%,0.62%,0.62%,0.61%,0.65%,0.67%
Gambia,,13.4432,-15.3101,0.00%,0.00%,25.00%,9.09%,4.00%,4.08%,1.81%,3.24%,3.13%,3.24%,3.29%,3.24%
Georgia,,32.1656,-82.9001,0.00%,0.00%,0.00%,1.11%,1.53%,1.62%,1.46%,1.28%,0.63%,0.79%,0.93%,1.07%
Germany,,51.1657,10.4515,0.00%,0.00%,1.08%,4.06%,4.66%,4.60%,4.35%,3.80%,3.24%,1.97%,1.56%,1.83%
Ghana,,7.9465,-1.0232,0.00%,0.00%,3.11%,0.82%,0.45%,0.63%,0.51%,0.62%,0.65%,0.67%,0.63%,0.61%
Greece,,39.0742,21.8243,0.00%,0.00%,3.73%,5.40%,6.00%,5.63%,4.60%,2.58%,2.12%,1.59%,2.29%,3.40%
Grenada,,12.1165,-61.679,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Guatemala,,15.7835,-90.2308,0.00%,0.00%,2.63%,2.67%,2.12%,4.27%,3.86%,3.73%,3.54%,3.45%,3.42%,3.52%
Guinea,,9.9456,-9.6966,0.00%,0.00%,0.00%,0.47%,0.62%,0.61%,0.63%,0.63%,0.62%,0.60%,0.58%,0.59%
Guinea-Bissau,,11.8037,-15.1804,0.00%,0.00%,0.00%,0.49%,0.64%,1.45%,1.31%,1.54%,1.68%,1.70%,1.80%,1.84%
Guyana,,4.8604,-58.9302,0.00%,0.00%,16.67%,10.98%,7.84%,4.90%,4.84%,2.99%,2.76%,2.98%,2.79%,2.61%
Haiti,,18.9712,-72.2852,0.00%,0.00%,0.00%,9.88%,2.07%,1.76%,2.17%,2.44%,2.61%,2.56%,2.51%,2.36%
Holy See,,41.9029,12.4534,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Honduras,,15.2,-86.2419,0.00%,0.00%,4.96%,9.21%,4.08%,2.54%,3.18%,3.07%,3.06%,2.75%,2.70%,2.57%
Hungary,,47.1625,19.5033,0.00%,0.00%,3.25%,11.24%,13.57%,14.08%,13.23%,10.02%,2.89%,2.32%,2.22%,2.86%
Iceland,,64.9631,-19.0208,0.00%,0.00%,0.18%,0.56%,0.55%,0.55%,0.53%,0.47%,0.37%,0.25%,0.48%,0.49%
India,,20.5937,78.9629,0.00%,0.00%,2.51%,3.31%,2.84%,2.97%,2.15%,1.77%,1.56%,1.49%,1.45%,1.45%
Indonesia,,-0.7893,113.9213,0.00%,0.00%,8.90%,7.83%,6.09%,5.10%,4.73%,4.24%,3.74%,3.38%,3.14%,2.98%
Iran,,32.4279,53.688,0.00%,7.25%,6.50%,6.37%,5.15%,4.75%,5.51%,5.75%,5.72%,5.69%,5.01%,4.56%
Iraq,,33.2232,43.6793,0.00%,0.00%,7.20%,4.46%,3.18%,3.96%,3.80%,3.00%,2.53%,2.31%,2.22%,2.16%
Ireland,,53.1424,-7.6921,0.00%,0.00%,2.19%,5.98%,6.61%,6.82%,6.76%,6.17%,4.99%,3.11%,2.83%,2.56%
Israel,,31.0461,34.8516,0.00%,0.00%,0.37%,1.42%,1.68%,1.29%,0.79%,0.82%,0.65%,0.81%,0.85%,0.80%
Italy,,41.8719,12.5674,0.00%,2.57%,11.75%,13.61%,14.34%,14.45%,14.20%,13.18%,11.40%,5.68%,3.47%,3.51%
Jamaica,,18.1096,-77.2975,0.00%,0.00%,2.78%,1.90%,1.54%,1.42%,1.14%,0.85%,1.65%,2.27%,2.39%,2.32%
Japan,,36.2048,138.2529,0.00%,2.45%,2.97%,3.37%,5.36%,5.22%,2.78%,1.90%,1.88%,1.75%,1.39%,1.40%
Jordan,,30.5852,36.2384,0.00%,0.00%,1.82%,1.77%,1.22%,0.80%,0.92%,0.74%,0.52%,1.14%,1.25%,1.31%
Kazakhstan,,48.0196,66.9237,0.00%,0.00%,0.58%,0.73%,0.37%,0.84%,0.88%,1.36%,1.48%,1.49%,1.39%,1.36%
Kenya,,-0.0236,37.9062,0.00%,0.00%,1.69%,4.29%,3.26%,2.32%,1.65%,1.69%,1.85%,1.78%,1.76%,1.73%
"Korea, South",,35.9078,127.7669,0.00%,0.51%,1.66%,2.30%,2.36%,2.19%,2.10%,1.61%,1.74%,1.75%,1.52%,1.42%
Kosovo,,42.6026,20.903,0.00%,0.00%,0.94%,2.75%,2.80%,1.75%,2.73%,3.90%,4.00%,3.51%,2.57%,2.59%
Kuwait,,29.3117,47.4818,0.00%,0.00%,0.00%,0.65%,0.78%,0.77%,0.67%,0.62%,0.58%,0.62%,0.62%,0.62%
Kyrgyzstan,,41.2044,74.7661,0.00%,0.00%,0.00%,1.07%,0.92%,1.11%,3.85%,2.41%,2.28%,1.94%,1.74%,1.68%
Laos,,19.8563,102.4955,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Latvia,,56.8796,24.6032,0.00%,0.00%,0.00%,1.75%,2.25%,2.68%,2.60%,2.44%,2.03%,1.20%,1.21%,1.54%
Lebanon,,33.8547,35.8623,0.00%,0.00%,2.55%,3.31%,2.21%,1.91%,1.34%,0.96%,0.93%,0.78%,0.80%,0.81%
Lesotho,,-29.61,28.2336,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.15%,2.86%,2.26%,2.25%,2.09%,1.87%
Liberia,,6.4281,-9.4295,0.00%,0.00%,0.00%,11.35%,9.38%,4.62%,6.32%,6.29%,6.11%,5.75%,5.20%,4.67%
Libya,,26.3351,17.2283,0.00%,0.00%,0.00%,4.92%,3.21%,2.91%,2.04%,1.70%,1.60%,1.40%,1.43%,1.46%
Liechtenstein,,47.166,9.5554,0.00%,0.00%,0.00%,1.22%,1.22%,1.22%,1.14%,0.93%,0.85%,0.56%,1.26%,1.54%
Lithuania,,55.1694,23.8813,0.00%,0.00%,1.49%,3.25%,4.18%,4.29%,3.86%,2.96%,1.96%,1.11%,0.83%,0.96%
Luxembourg,,49.8153,6.1296,0.00%,0.00%,1.06%,2.38%,2.74%,2.56%,1.70%,1.87%,1.46%,0.89%,0.93%,1.01%
MS Zaandam,,52.44204,4.8292,0.00%,0.00%,0.00%,22.22%,22.22%,22.22%,22.22%,22.22%,22.22%,22.22%,22.22%,22.22%
Madagascar,,-18.7669,46.8691,0.00%,0.00%,0.00%,0.00%,0.78%,0.90%,0.98%,1.29%,1.40%,1.43%,1.45%,1.47%
Malawi,,-13.2543,34.3015,0.00%,0.00%,0.00%,8.11%,1.41%,1.14%,2.80%,3.14%,3.10%,3.10%,3.07%,2.96%
Malaysia,,4.2105,101.9758,0.00%,0.00%,1.55%,1.70%,1.47%,1.40%,1.39%,1.36%,1.21%,0.79%,0.55%,0.43%
Maldives,,3.2028,73.2207,0.00%,0.00%,0.00%,0.21%,0.28%,0.38%,0.42%,0.36%,0.33%,0.33%,0.35%,0.35%
Mali,,17.5707,-3.9962,0.00%,0.00%,7.14%,5.31%,6.09%,5.32%,4.89%,4.54%,4.20%,3.83%,3.31%,3.82%
Malta,,35.9375,14.3754,0.00%,0.00%,0.00%,0.86%,1.46%,1.34%,1.09%,0.64%,1.14%,1.03%,1.39%,1.70%
Marshall Islands,,7.1315,171.1845,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Mauritania,,21.0079,-10.9408,0.00%,0.00%,16.67%,12.50%,4.34%,2.96%,2.49%,2.26%,2.15%,2.12%,2.06%,2.38%
Mauritius,,-20.3484,57.5522,0.00%,0.00%,3.50%,3.01%,2.99%,2.93%,2.91%,2.81%,2.62%,2.27%,1.98%,1.90%
Mexico,,23.6345,-102.5528,0.00%,0.00%,2.39%,9.67%,10.95%,12.28%,10.99%,10.74%,10.45%,9.92%,9.51%,8.85%
Moldova,,47.4116,28.3699,0.00%,0.00%,1.13%,2.98%,3.58%,3.28%,3.15%,2.70%,2.49%,2.35%,2.15%,2.05%
Monaco,,43.7384,7.4246,0.00%,0.00%,1.92%,4.21%,4.04%,3.88%,3.33%,2.60%,0.92%,0.56%,0.49%,0.38%
